ردیف,دسته اصلی,دسته ۲,دسته ۳,دسته ۴,دسته ۵,دسته ۶,دسته ۷
1,اجتماعی,امور خیریه,صدقه,می‌دهد,,,
2,اجتماعی,امور خیریه,صدقه,نمی‌دهد,,,
3,اجتماعی,امور خیریه,صدقه,دفعات پرداخت,مرتب,,
4,اجتماعی,امور خیریه,صدقه,دفعات پرداخت,هنگام احساس خطر,,
5,اجتماعی,امور خیریه,صدقه,دفعات پرداخت,هر وقت بتونه,,
6,اجتماعی,امور خیریه,صدقه,نظر,اعتقادی نداره,,
7,اجتماعی,امور خیریه,اهدای عضو,نظر,موافق,,
8,اجتماعی,امور خیریه,اهدای عضو,نظر,مخالف,,
9,اجتماعی,امور خیریه,اهدای عضو,نظر,فکر نکرده,,
10,اجتماعی,امور خیریه,اهدای عضو,نظر,تصمیم خانواده,,
11,اجتماعی,امور خیریه,اهدای عضو,نظر,در صورت پرداخت هزینه,,
12,اجتماعی,انتظامی,راهنمایی و رانندگی,رعایت قوانین و مقررات,زیاد,,
13,اجتماعی,انتظامی,راهنمایی و رانندگی,رعایت قوانین و مقررات,تاحدی,,
14,اجتماعی,انتظامی,راهنمایی و رانندگی,رعایت قوانین و مقررات,کم و بیش,,
15,اجتماعی,انتظامی,راهنمایی و رانندگی,رعایت قوانین و مقررات,خیلی‌کم,,
16,اجتماعی,پوشاک,ملاک انتخاب,کیفیت و جنس,,,
17,اجتماعی,پوشاک,ملاک انتخاب,قیمت,,,
18,اجتماعی,پوشاک,ملاک انتخاب,مد,,,
19,اجتماعی,پوشاک,ملاک انتخاب,نام تجاری,,,
20,اجتماعی,پوشاک,ملاک انتخاب,زیبایی و شیک بودن,,,
21,اجتماعی,پوشاک,ملاک انتخاب,تناسب با عرف جامعه,,,
22,اجتماعی,پوشاک,ملاک انتخاب,سایر,,,
23,اجتماعی,خانواده,ازدواج,ملاک انتخاب,اعتقادات دینی,,
24,اجتماعی,خانواده,ازدواج,ملاک انتخاب,اخلاق و روحیات,,
25,اجتماعی,خانواده,ازدواج,ملاک انتخاب,تحصیلات,,
26,اجتماعی,خانواده,ازدواج,ملاک انتخاب,وضعیت اجتماعی و خانوادگی,,
27,اجتماعی,خانواده,ازدواج,ملاک انتخاب,وضعیت مالی,,
28,اجتماعی,خانواده,ازدواج,ملاک انتخاب,زیبایی ظاهری,,
29,اجتماعی,خانواده,ازدواج,ملاک انتخاب,سایر,,
30,اجتماعی,سفر,حمل و نقل,امور روزمره,خودروی شخصی,,
31,اجتماعی,سفر,حمل و نقل,امور روزمره,مترو,,
32,اجتماعی,سفر,حمل و نقل,امور روزمره,اتوبوس,,
33,اجتماعی,سفر,حمل و نقل,امور روزمره,تاکسی,,
34,اجتماعی,سفر,حمل و نقل,امور روزمره,موتورسیکلت,,
35,اجتماعی,سفر,حمل و نقل,امور روزمره,دوچرخه,,
36,اجتماعی,سفر,حمل و نقل,امور روزمره,سایر,,
37,اجتماعی,سفر,حمل و نقل,برون شهری,خودروی شخصی,,
38,اجتماعی,سفر,حمل و نقل,برون شهری,تاکسی,,
39,اجتماعی,سفر,حمل و نقل,برون شهری,مسافربر شخصی,,
40,اجتماعی,سفر,حمل و نقل,برون شهری,هواپیما,,
41,اجتماعی,سفر,حمل و نقل,برون شهری,قطار,,
42,اجتماعی,سفر,حمل و نقل,برون شهری,اتوبوس,,
43,اجتماعی,سفر,حمل و نقل,برون شهری,سایر,,
44,اجتماعی,سفر,حمل و نقل,ملاک انتخاب,هزینه,,
45,اجتماعی,سفر,حمل و نقل,ملاک انتخاب,راحتی و آسایش,,
46,اجتماعی,سفر,حمل و نقل,ملاک انتخاب,امنیت,,
47,اجتماعی,سفر,حمل و نقل,ملاک انتخاب,سرعت,,
48,اجتماعی,سفر,حمل و نقل,ملاک انتخاب,سایر,,
49,اجتماعی,محیط‌زیست,آلودگی,محل زندگی,بله,,
50,اجتماعی,محیط‌زیست,آلودگی,محل زندگی,خیر,,
51,اجتماعی,محیط‌زیست,آلودگی,محل زندگی,برخی ایام,,
52,اجتماعی,محیط‌زیست,آلودگی,عوامل,وسایل نقلیه,,
53,اجتماعی,محیط‌زیست,آلودگی,عوامل,ریزگردها,,
54,اجتماعی,محیط‌زیست,آلودگی,عوامل,صنایع و نیروگاه‌ها,,
55,اجتماعی,محیط‌زیست,آلودگی,عوامل,کمبود فضای سبز,,
56,اجتماعی,محیط‌زیست,آلودگی,عوامل,سایر,,
57,اقتصادی,بانک,حساب بانکی,دارد,,,
58,اقتصادی,بانک,حساب بانکی,ندارد,,,
59,اقتصادی,بانک,تعداد حساب بانکی,یک,,,
60,اقتصادی,بانک,تعداد حساب بانکی,دو,,,
61,اقتصادی,بانک,تعداد حساب بانکی,سه,,,
62,اقتصادی,بانک,تعداد حساب بانکی,چهار,,,
